,x_G1,y_G1,z_G1,cA_G1,cF_G1,cV_G1,cTot_G1,x_C1,d_C1,e_C1,y_C1,cD_C1,cE_C1,cTot_C1,xC_A1,xD_A1,C_A1,yC_A1,zC_A1,yD_A1,zD_A1,cAC_A1,cFC_A1,cVC_A1,cAD_A1,cFD_A1,cVD_A1,cNm_A1,cNd_A1,cNe_A1,cNfinal_A1,cTot_A1,xE_R1,xI_R1,dE_R1,eE_R1,dI_R1,eI_R1,yE_R1,yI_R1,xIextraAvail_R1,xIextraUsed_R1,xBsubir_R1,xBbajar_R1,cDE_R1,cEE_R1,cDI_R1,cEI_R1,cIextra_R1,cBsubir_R1,cBbajar_R1,cTot_R1,xI_L1,xO_L1,y_L1,z_L1,p_L1,xPI_L1,xPO_L1,cA_L1,cF_L1,cVI_L1,cVO_L1,cFp_L1,cTot_L1,xI_L2,xO_L2,y_L2,z_L2,p_L2,xPI_L2,xPO_L2,cA_L2,cF_L2,cVI_L2,cVO_L2,cFp_L2,cTot_L2,xI_L3,xO_L3,y_L3,z_L3,p_L3,xPI_L3,xPO_L3,cA_L3,cF_L3,cVI_L3,cVO_L3,cFp_L3,cTot_L3
2024-01-01 00:00:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,49.69813630510443,False,False,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.811182169373411,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:10:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,49.39627261020886,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:20:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,49.094408915313295,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:30:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,48.79254522041772,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:40:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,48.490681525522156,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:50:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,0.0,40.0,0.0,False,6666.666666666666,0.0,6666.666666666666,0.0,1.8111821693734111,48.18881783062659,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1.8111821693734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,45.32915111843235,0.0,5.32915111843235,True,0.0,888.1918530720583,888.1918530720583,0.0,2.1571954091088905,47.82928526244177,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34601323973547937,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1571954091088905,45.32915111843235,True,True,False,0.0,0.0,114.15525114155251,1.9025875190258752,0.0,0.0,0.0,116.05783866057838
2024-01-01 01:10:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,45.32915111843235,0.0,5.32915111843235,True,0.0,888.1918530720583,888.1918530720583,0.0,2.1571954091088905,47.469752694256954,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1571954091088905,45.32915111843235,True,False,False,0.0,0.0,0.0,1.9025875190258752,0.0,0.0,0.0,1.9025875190258752
2024-01-01 01:20:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,45.32915111843234,0.0,5.329151118432343,True,0.0,888.191853072057,888.191853072057,0.0,2.15719540910889,47.110220126072136,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15719540910889,45.32915111843234,True,False,False,0.0,0.0,0.0,1.9025875190258752,0.0,0.0,0.0,1.9025875190258752
2024-01-01 01:30:00+00:00,0.0,False,False,0.0,0.0,0.0,0.0,45.32915111843235,0.0,5.32915111843235,True,0.0,888.1918530720583,888.1918530720583,0.0,2.1571954091088905,46.75068755788732,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1571954091088905,45.32915111843235,True,False,False,0.0,0.0,0.0,1.9025875190258752,0.0,0.0,0.0,1.9025875190258752
